,Year,Area_Name,Crime_Code_Description
318,2010,Devonshire,THEFT
319,2013,Central,ASSAULT
321,2010,Devonshire,BURGLARY
322,2010,Devonshire,THEFT
323,2010,Devonshire,BURGLARY
324,2010,Devonshire,BURGLARY
325,2010,Devonshire,THEFT
326,2013,Central,BATTERY
327,2010,Devonshire,THEFT
328,2010,Devonshire,THEFT
329,2010,Devonshire,VANDALISM
330,2010,Devonshire,BURGLARY
331,2010,Southeast,THEFT
332,2013,Central,BATTERY
333,2013,Central,BATTERY
334,2010,Southeast,THEFT
335,2010,Mission,THEFT
336,2013,Central,BATTERY
337,2013,Central,OTHER
338,2013,Central,OTHER
339,2013,Central,MURDER
340,2013,Central,WEAPON
341,2013,Central,OTHER
342,2013,Central,BATTERY
343,2013,Central,VANDALISM
344,2010,77th Street,THEFT
345,2010,Olympic,THEFT
346,2013,Central,ASSAULT
347,2013,Central,BATTERY
348,2013,Central,VANDALISM
349,2013,Central,OTHER
350,2013,Central,FRAUD
351,2013,Central,BURGLARY
352,2013,Central,ASSAULT
353,2013,Central,ROBBERY
354,2013,Central,THEFT
355,2010,Olympic,THEFT
356,2010,Mission,THEFT
357,2010,Mission,THEFT
358,2010,Olympic,THEFT
359,2013,Central,BURGLARY
360,2013,Central,OTHER
361,2013,Central,FAMILIAL CRIME
363,2013,Central,BURGLARY
364,2013,Central,BATTERY
365,2013,Central,ROBBERY
366,2013,Central,VANDALISM
367,2013,Central,VANDALISM
368,2013,Central,OTHER
369,2013,Central,ASSAULT
370,2013,Central,ASSAULT
371,2013,Central,BATTERY
372,2013,Central,ASSAULT
373,2013,Central,BATTERY
374,2013,Central,WEAPON
375,2013,Central,WEAPON
376,2013,Central,SEXUAL CRIMES
377,2013,Central,VANDALISM
378,2013,Central,VANDALISM
379,2010,West Valley,THEFT
380,2013,Central,BURGLARY
381,2013,Central,ASSAULT
382,2013,Central,ASSAULT
383,2013,Central,ASSAULT
384,2013,Central,VANDALISM
385,2013,Central,FRAUD
386,2013,Central,ASSAULT
387,2010,West Valley,THEFT
388,2010,Topanga,THEFT
389,2010,West Valley,THEFT
390,2010,Northeast,THEFT
391,2010,Northeast,THEFT
392,2010,Northeast,THEFT
393,2010,Northeast,BURGLARY
394,2010,Northeast,OTHER
395,2010,Northeast,THEFT
396,2010,77th Street,THEFT
397,2010,77th Street,THEFT
398,2010,77th Street,THEFT
399,2013,Central,VANDALISM
400,2010,Southeast,THEFT
401,2010,Southeast,THEFT
402,2010,Southeast,THEFT
403,2010,Mission,THEFT
404,2013,Central,VANDALISM
405,2010,Topanga,THEFT
406,2013,Central,ASSAULT
408,2013,Central,FRAUD
409,2013,Central,ASSAULT
410,2013,Central,SEXUAL CRIMES
411,2013,Central,ASSAULT
412,2010,Newton,THEFT
413,2010,West Valley,THEFT
414,2013,Central,BATTERY
415,2010,Northeast,THEFT
416,2013,Central,BATTERY
417,2013,Central,ASSAULT
418,2013,Central,VANDALISM
419,2010,77th Street,THEFT
420,2010,77th Street,THEFT
421,2010,77th Street,THEFT
422,2010,West Valley,THEFT
423,2013,Central,VANDALISM
424,2010,77th Street,THEFT
425,2010,Newton,THEFT
426,2010,77th Street,THEFT
427,2010,77th Street,THEFT
428,2010,77th Street,THEFT
429,2010,77th Street,THEFT
430,2013,Central,ASSAULT
431,2010,77th Street,THEFT
432,2013,Central,VANDALISM
433,2010,Newton,BURGLARY
434,2010,Newton,THEFT
435,2013,Central,BURGLARY
436,2010,Newton,THEFT
437,2010,Newton,THEFT
439,2010,Newton,THEFT
440,2010,Newton,THEFT
441,2010,Newton,THEFT
442,2010,Newton,THEFT
443,2010,Newton,THEFT
444,2010,Newton,THEFT
445,2010,Newton,THEFT
446,2013,Central,SEXUAL CRIMES
447,2010,Newton,THEFT
448,2010,Newton,BURGLARY
449,2010,Newton,THEFT
450,2010,Newton,THEFT
451,2010,Newton,FRAUD
452,2010,Newton,OTHER
453,2010,Newton,THEFT
454,2010,Newton,BURGLARY
455,2010,Newton,BURGLARY
456,2013,Central,THEFT
457,2010,Pacific,THEFT
458,2010,Pacific,BURGLARY
459,2010,Pacific,THEFT
460,2010,Pacific,THEFT
461,2010,Pacific,BURGLARY
462,2010,Pacific,OTHER
463,2010,Pacific,THEFT
464,2013,Central,ASSAULT
465,2010,Pacific,THEFT
466,2010,Pacific,THEFT
467,2010,Pacific,THEFT
468,2010,77th Street,THEFT
470,2010,Pacific,BURGLARY
471,2010,Pacific,THEFT
472,2010,Pacific,THEFT
473,2013,Central,BATTERY
474,2010,N Hollywood,THEFT
475,2010,N Hollywood,THEFT
476,2013,Central,ASSAULT
477,2010,Foothill,THEFT
478,2010,Foothill,THEFT
479,2013,Central,ASSAULT
480,2010,Devonshire,THEFT
481,2010,Devonshire,THEFT
482,2010,Devonshire,THEFT
483,2010,Devonshire,THEFT
484,2010,Southeast,THEFT
485,2010,Southeast,THEFT
486,2010,Mission,BURGLARY
487,2010,Mission,THEFT
488,2010,Mission,THEFT
489,2010,Mission,THEFT
490,2010,Mission,BURGLARY
491,2010,Mission,THEFT
492,2010,Mission,THEFT
493,2010,Mission,THEFT
494,2010,Mission,THEFT
495,2010,Mission,THEFT
496,2010,Mission,THEFT
497,2010,Mission,BURGLARY
498,2010,Mission,THEFT
499,2010,Mission,THEFT
500,2010,Mission,THEFT
501,2010,Mission,THEFT
502,2010,Mission,THEFT
503,2010,Mission,THEFT
504,2013,Central,ASSAULT
505,2013,Central,ASSAULT
506,2010,Mission,THEFT
507,2010,Mission,OTHER
508,2010,Mission,BURGLARY
509,2010,Mission,OTHER
510,2010,Mission,THEFT
511,2010,Mission,BURGLARY
512,2013,Central,BATTERY
513,2010,Mission,THEFT
514,2010,Northeast,THEFT
515,2010,Mission,OTHER
516,2010,Mission,THEFT
517,2010,Mission,THEFT
518,2013,Central,BATTERY
519,2013,Central,BATTERY
520,2010,Olympic,THEFT
521,2010,Olympic,THEFT
522,2010,Olympic,THEFT
523,2010,Olympic,THEFT
524,2010,Olympic,THEFT
525,2010,Olympic,THEFT
526,2010,Olympic,ROBBERY
527,2010,Olympic,THEFT
528,2010,Olympic,THEFT
529,2010,Olympic,THEFT
530,2010,Olympic,THEFT
531,2010,Olympic,BURGLARY
532,2013,Central,THEFT
533,2010,Olympic,BURGLARY
534,2010,Olympic,THEFT
535,2013,Central,BURGLARY
536,2013,Central,BURGLARY
537,2010,Olympic,THEFT
538,2010,Topanga,THEFT
539,2010,West Valley,THEFT
540,2013,Central,BURGLARY
541,2010,Olympic,BURGLARY
542,2013,Central,ASSAULT
543,2013,Central,BATTERY
544,2010,Topanga,BURGLARY
545,2010,Topanga,THEFT
546,2010,Topanga,OTHER
547,2010,Topanga,BURGLARY
548,2010,Topanga,THEFT
549,2010,Topanga,THEFT
550,2013,Central,ASSAULT
551,2010,Topanga,BURGLARY
552,2010,Topanga,FRAUD
553,2010,Topanga,THEFT
554,2010,Topanga,THEFT
555,2010,Topanga,THEFT
556,2010,Topanga,BURGLARY
557,2013,Central,ASSAULT
558,2013,Central,ROBBERY
559,2013,Central,ASSAULT
560,2013,Central,BURGLARY
561,2013,Central,VANDALISM
562,2010,Northeast,FRAUD
563,2010,Northeast,SEXUAL CRIMES
564,2013,Central,VANDALISM
565,2010,Mission,BURGLARY
566,2010,Olympic,ROBBERY
567,2013,Central,FAMILIAL CRIME
568,2013,Central,VANDALISM
569,2013,Central,VANDALISM
570,2013,Central,BATTERY
571,2013,Central,BURGLARY
572,2010,77th Street,THEFT
573,2010,Newton,THEFT
574,2010,Olympic,FRAUD
575,2010,Pacific,THEFT
576,2013,Central,BATTERY
577,2010,Topanga,FAMILIAL CRIMES
578,2010,Topanga,SEXUAL CRIMES
579,2010,Topanga,FAMILIAL CRIMES
580,2013,Central,OTHER
581,2013,Central,BATTERY
582,2010,Pacific,THEFT
583,2013,Central,ROBBERY
584,2013,Central,SEXUAL CRIMES
585,2010,Pacific,BURGLARY
586,2013,Central,OTHER
587,2013,Central,BURGLARY
588,2013,Central,FRAUD
589,2013,Central,OTHER
590,2013,Central,ASSAULT
591,2013,Central,OTHER
592,2013,Central,ASSAULT
593,2013,Central,ASSAULT
594,2013,Central,BATTERY
595,2013,Central,VANDALISM
596,2010,Northeast,THEFT
597,2013,Central,THEFT
598,2013,Central,ASSAULT
599,2010,West Valley,OTHER
600,2010,Newton,THEFT
601,2010,Rampart,THEFT
602,2013,Central,GAMBLING
604,2013,Central,THEFT
606,2013,Central,BURGLARY
607,2013,Central,ROBBERY
608,2013,Central,THEFT
609,2013,Central,FRAUD
610,2013,Central,BURGLARY
611,2013,Central,VANDALISM
612,2013,Central,ASSAULT
613,2010,Northeast,THEFT
614,2013,Central,FRAUD
615,2013,Central,ASSAULT
616,2013,Central,BATTERY
617,2013,Central,BATTERY
618,2013,Central,ASSAULT
619,2013,Central,VANDALISM
620,2013,Central,ASSAULT
621,2010,Northeast,THEFT
622,2013,Central,ASSAULT
623,2013,Central,FRAUD
624,2013,Central,ASSAULT
625,2013,Central,BATTERY
626,2010,77th Street,THEFT
627,2013,Central,ASSAULT
628,2010,77th Street,THEFT
629,2010,Northeast,THEFT
630,2010,Northeast,THEFT
631,2010,Northeast,THEFT
632,2013,Central,BURGLARY
633,2010,77th Street,THEFT
634,2013,Central,BURGLARY
635,2010,77th Street,THEFT
636,2013,Pacific,BURGLARY
637,2010,Northeast,THEFT
638,2010,Newton,THEFT
639,2010,Newton,THEFT
640,2010,Newton,THEFT
641,2010,Newton,BURGLARY
642,2010,Newton,THEFT
643,2010,Newton,THEFT
644,2010,Northeast,THEFT
645,2010,Newton,THEFT
646,2013,Central,BATTERY
647,2010,Newton,THEFT
648,2010,Newton,THEFT
649,2010,Newton,THEFT
650,2013,Central,BURGLARY
651,2010,Newton,BURGLARY
652,2010,Newton,THEFT
653,2010,Newton,THEFT
654,2010,Newton,THEFT
655,2010,Pacific,THEFT
656,2010,Pacific,THEFT
657,2013,Central,VANDALISM
658,2010,77th Street,THEFT
659,2010,Newton,THEFT
660,2010,77th Street,THEFT
661,2013,Central,BURGLARY
662,2013,Mission,OTHER
663,2010,Newton,THEFT
664,2010,Newton,THEFT
665,2010,Newton,THEFT
666,2010,Newton,BURGLARY
667,2010,Pacific,BURGLARY
668,2010,Newton,THEFT
669,2010,Pacific,THEFT
670,2010,Pacific,THEFT
671,2010,Pacific,THEFT
672,2010,N Hollywood,THEFT
673,2010,N Hollywood,BURGLARY
674,2010,Foothill,THEFT
675,2010,Devonshire,THEFT
676,2013,Central,ASSAULT
677,2010,Devonshire,THEFT
678,2010,Devonshire,THEFT
679,2010,Southeast,THEFT
680,2010,Southeast,THEFT
681,2010,Southeast,THEFT
682,2013,Central,FRAUD
683,2010,Southeast,THEFT
684,2010,Southeast,THEFT
685,2010,Southeast,THEFT
686,2010,Mission,THEFT
687,2010,Pacific,THEFT
688,2013,Central,OTHER
689,2010,Newton,THEFT
690,2010,Newton,THEFT
691,2013,Central,VANDALISM
692,2013,Central,BATTERY
693,2010,Olympic,THEFT
694,2013,Central,BATTERY
695,2010,Olympic,THEFT
696,2010,Topanga,THEFT
697,2013,Central,ASSAULT
698,2010,Pacific,THEFT
699,2010,Pacific,BURGLARY
700,2010,Foothill,THEFT
701,2010,N Hollywood,THEFT
702,2010,N Hollywood,THEFT
703,2013,Central,BATTERY
704,2013,Central,THEFT
705,2010,Topanga,THEFT
706,2013,Central,OTHER
707,2010,Foothill,THEFT
708,2010,Devonshire,THEFT
709,2010,Devonshire,THEFT
710,2010,Mission,BURGLARY
711,2010,Southeast,THEFT
712,2010,Mission,THEFT
713,2013,Central,BURGLARY
714,2010,Olympic,THEFT
715,2010,Olympic,THEFT
716,2010,Topanga,OTHER
717,2010,Topanga,ROBBERY
718,2010,Topanga,THEFT
719,2010,Topanga,THEFT
720,2013,Central,BATTERY
721,2010,Topanga,THEFT
722,2013,Central,SEXUAL CRIMES
723,2013,Central,THEFT
725,2013,Central,BATTERY
726,2010,Olympic,THEFT
727,2013,Central,ASSAULT
728,2013,Central,BATTERY
730,2013,Central,VANDALISM
731,2013,Central,FRAUD
732,2010,Topanga,THEFT
733,2010,Topanga,ROBBERY
735,2013,Central,OTHER
736,2013,Central,FRAUD
737,2010,Pacific,THEFT
738,2010,Southeast,THEFT
739,2010,Southeast,THEFT
741,2013,Central,VANDALISM
743,2013,Central,THEFT
744,2010,Newton,THEFT
745,2010,Newton,THEFT
746,2013,Central,ROBBERY
748,2013,Central,BATTERY
749,2010,77th Street,THEFT
750,2013,Central,ROBBERY
751,2013,Central,FRAUD
752,2013,Central,OTHER
753,2013,Central,OTHER
754,2013,Central,VANDALISM
755,2013,Central,THEFT
756,2013,Central,ROBBERY
757,2013,Central,OTHER
758,2013,Central,THEFT
759,2013,Central,ASSAULT
760,2013,Central,ROBBERY
761,2013,Central,THEFT
762,2013,Central,THEFT
763,2013,Central,BATTERY
764,2013,Central,BATTERY
765,2013,Central,BATTERY
766,2013,Central,THEFT
767,2013,Central,OTHER
768,2013,Central,BATTERY
769,2013,Central,BURGLARY
770,2013,Central,FRAUD
771,2013,Central,BATTERY
773,2013,Central,FRAUD
774,2013,Central,THEFT
775,2013,Central,ROBBERY
776,2013,Pacific,BURGLARY
777,2010,West Valley,THEFT
778,2013,Central,BATTERY
779,2013,Central,THEFT
780,2013,Central,BATTERY
781,2013,Central,VANDALISM
782,2013,Central,BATTERY
783,2013,Central,BATTERY
784,2013,Central,THEFT
785,2013,Central,ROBBERY
786,2013,Central,VANDALISM
787,2013,Central,ASSAULT
788,2013,Central,SEXUAL CRIMES
790,2013,Central,THEFT
791,2013,Central,OTHER
792,2013,Central,VANDALISM
793,2013,Central,BURGLARY
794,2013,Central,THEFT
795,2013,Central,THEFT
796,2013,Central,BATTERY
797,2013,Central,THEFT
798,2013,Central,ASSAULT
799,2013,Central,THEFT
800,2013,Central,BATTERY
801,2013,Central,FRAUD
802,2013,Central,BATTERY
803,2013,Central,WEAPON
804,2013,Central,ROBBERY
805,2013,Central,OTHER
806,2013,Central,WEAPON
807,2010,Newton,THEFT
808,2013,Central,BURGLARY
809,2013,Central,VANDALISM
810,2013,Central,OTHER
811,2013,Central,ASSAULT
812,2013,Central,OTHER
813,2013,Central,BATTERY
814,2013,Central,BATTERY
815,2010,West Valley,WEAPON
816,2010,West Valley,THEFT
817,2010,West Valley,THEFT
818,2010,West Valley,OTHER
819,2010,Foothill,THEFT
820,2013,Central,VANDALISM
821,2010,Northeast,THEFT
822,2010,Northeast,THEFT
823,2013,Central,THEFT
824,2010,Northeast,THEFT
825,2010,Northeast,THEFT
826,2010,Northeast,THEFT
827,2010,Northeast,THEFT
828,2010,77th Street,THEFT
829,2010,77th Street,BURGLARY
830,2010,77th Street,THEFT
831,2013,Central,THEFT
832,2010,77th Street,THEFT
833,2010,77th Street,THEFT
834,2010,77th Street,THEFT
835,2010,77th Street,THEFT
836,2010,77th Street,THEFT
837,2010,77th Street,THEFT
838,2013,Central,VANDALISM
839,2010,77th Street,THEFT
840,2010,Newton,THEFT
841,2010,Newton,THEFT
842,2010,Newton,THEFT
843,2013,Central,VANDALISM
844,2013,Central,BATTERY
845,2013,Central,BATTERY
846,2010,Newton,THEFT
847,2010,Newton,THEFT
848,2013,Central,THEFT
849,2013,Central,VANDALISM
850,2010,Newton,THEFT
851,2013,Central,BURGLARY
852,2010,Pacific,BURGLARY
853,2010,Pacific,OTHER
854,2013,Central,FRAUD
855,2010,Pacific,THEFT
856,2010,Pacific,BURGLARY
857,2010,Pacific,THEFT
859,2013,Central,THEFT
860,2013,Central,SEXUAL CRIMES
861,2010,N Hollywood,THEFT
862,2010,N Hollywood,THEFT
863,2010,Newton,THEFT
864,2010,Foothill,THEFT
865,2010,Foothill,THEFT
866,2013,Central,BURGLARY
867,2010,Foothill,THEFT
868,2010,Olympic,THEFT
869,2010,Foothill,THEFT
870,2010,Foothill,THEFT
871,2010,Devonshire,THEFT
872,2010,Devonshire,THEFT
873,2013,Central,VANDALISM
874,2010,Devonshire,BURGLARY
875,2010,Devonshire,THEFT
876,2010,Devonshire,THEFT
877,2013,Central,BATTERY
878,2010,Southeast,BURGLARY
879,2013,Central,BATTERY
880,2010,Southeast,BURGLARY
881,2013,Central,BATTERY
883,2013,Central,OTHER
885,2013,Central,ASSAULT
886,2010,Newton,THEFT
887,2010,Newton,THEFT
888,2010,Newton,THEFT
889,2010,Newton,THEFT
890,2010,Newton,THEFT
891,2010,Newton,THEFT
892,2013,Central,BATTERY
893,2010,Topanga,THEFT
894,2010,Topanga,THEFT
895,2013,Central,BATTERY
896,2013,Central,BATTERY
897,2013,Central,BATTERY
898,2013,Central,FRAUD
899,2010,Newton,THEFT
900,2010,Newton,THEFT
901,2013,Central,FRAUD
902,2010,Newton,THEFT
903,2010,Newton,THEFT
904,2010,Newton,THEFT
905,2010,Newton,THEFT
906,2010,Mission,THEFT
907,2010,Mission,THEFT
909,2013,Central,BATTERY
910,2013,Central,BURGLARY
911,2013,Central,OTHER
912,2013,Central,BATTERY
913,2013,Central,BURGLARY
914,2013,Central,BATTERY
915,2010,N Hollywood,THEFT
916,2013,Central,BATTERY
918,2013,Central,VANDALISM
919,2013,Central,BATTERY
920,2010,Topanga,THEFT
921,2010,Pacific,THEFT
922,2013,Central,ASSAULT
923,2010,Foothill,THEFT
924,2013,Central,ASSAULT
925,2013,Central,BATTERY
926,2013,Central,BURGLARY
927,2013,Central,FRAUD
928,2013,Central,BURGLARY
929,2013,Central,VANDALISM
930,2010,Mission,BURGLARY
931,2010,Olympic,THEFT
932,2010,Olympic,THEFT
933,2010,Olympic,THEFT
934,2010,Olympic,THEFT
935,2010,Olympic,THEFT
936,2010,Olympic,THEFT
937,2010,Olympic,THEFT
938,2010,Olympic,BURGLARY
939,2013,Central,THEFT
940,2013,Central,ASSAULT
941,2010,Olympic,THEFT
942,2010,Topanga,THEFT
943,2010,Topanga,THEFT
944,2010,Topanga,THEFT
945,2010,Topanga,SEXUAL CRIMES
946,2010,Topanga,THEFT
947,2013,Central,BATTERY
948,2013,Central,BATTERY
949,2013,Central,ASSAULT
950,2013,Central,THEFT
951,2013,Central,BURGLARY
952,2013,Central,BURGLARY
953,2013,Central,THEFT
954,2013,Central,BURGLARY
955,2013,Central,BATTERY
956,2013,Central,THEFT
957,2013,Central,BATTERY
958,2013,Central,BATTERY
959,2013,Central,ROBBERY
960,2013,Central,VANDALISM
961,2013,Central,ASSAULT
962,2013,Central,ASSAULT
963,2013,Central,THEFT
964,2013,Central,THEFT
965,2013,Central,BURGLARY
966,2013,Central,ROBBERY
967,2013,Central,OTHER
968,2013,Central,VANDALISM
