,Year,Area_ID,Crime_Code_Description,Count
0,2010,1,ASSAULT,649
1,2010,1,BATTERY,1314
2,2010,1,BURGLARY,760
3,2010,1,FAMILIAL CRIME,33
4,2010,1,FAMILIAL CRIMES,7
5,2010,1,FRAUD,415
6,2010,1,GAMBLING,8
7,2010,1,KIDNAPPING,11
8,2010,1,MURDER,8
9,2010,1,OTHER,808
10,2010,1,ROBBERY,430
11,2010,1,SEXUAL CRIMES,163
12,2010,1,THEFT,1250
13,2010,1,VANDALISM,537
14,2010,1,WEAPON,69
15,2010,2,ASSAULT,1153
16,2010,2,BATTERY,1175
17,2010,2,BURGLARY,1016
18,2010,2,FAMILIAL CRIME,143
19,2010,2,FAMILIAL CRIMES,75
20,2010,2,FRAUD,625
21,2010,2,GAMBLING,29
22,2010,2,KIDNAPPING,18
23,2010,2,MURDER,17
24,2010,2,OTHER,768
25,2010,2,ROBBERY,735
26,2010,2,SEXUAL CRIMES,250
27,2010,2,THEFT,1488
28,2010,2,VANDALISM,789
29,2010,2,WEAPON,99
30,2010,3,ASSAULT,1465
31,2010,3,BATTERY,1537
32,2010,3,BURGLARY,2288
33,2010,3,FAMILIAL CRIME,250
34,2010,3,FAMILIAL CRIMES,85
35,2010,3,FRAUD,963
36,2010,3,GAMBLING,26
37,2010,3,KIDNAPPING,30
38,2010,3,MURDER,16
39,2010,3,OTHER,1126
40,2010,3,ROBBERY,945
41,2010,3,SEXUAL CRIMES,285
42,2010,3,THEFT,2319
43,2010,3,VANDALISM,1146
44,2010,3,WEAPON,98
45,2010,4,ASSAULT,726
46,2010,4,BATTERY,931
47,2010,4,BURGLARY,883
48,2010,4,FAMILIAL CRIME,128
49,2010,4,FAMILIAL CRIMES,67
50,2010,4,FRAUD,481
51,2010,4,GAMBLING,18
52,2010,4,KIDNAPPING,16
53,2010,4,MURDER,21
54,2010,4,OTHER,663
55,2010,4,ROBBERY,414
56,2010,4,SEXUAL CRIMES,196
57,2010,4,THEFT,1626
58,2010,4,VANDALISM,738
59,2010,4,WEAPON,97
60,2010,5,ASSAULT,990
61,2010,5,BATTERY,720
62,2010,5,BURGLARY,1553
63,2010,5,FAMILIAL CRIME,165
64,2010,5,FAMILIAL CRIMES,58
65,2010,5,FRAUD,799
66,2010,5,GAMBLING,12
67,2010,5,KIDNAPPING,18
68,2010,5,MURDER,17
69,2010,5,OTHER,921
70,2010,5,ROBBERY,321
71,2010,5,SEXUAL CRIMES,143
72,2010,5,THEFT,2081
73,2010,5,VANDALISM,1071
74,2010,5,WEAPON,112
75,2010,6,ASSAULT,747
76,2010,6,BATTERY,1141
77,2010,6,BURGLARY,1383
78,2010,6,FAMILIAL CRIME,61
79,2010,6,FAMILIAL CRIMES,17
80,2010,6,FRAUD,798
81,2010,6,GAMBLING,17
82,2010,6,KIDNAPPING,5
83,2010,6,MURDER,11
84,2010,6,OTHER,706
85,2010,6,ROBBERY,526
86,2010,6,SEXUAL CRIMES,255
87,2010,6,THEFT,1812
