,Year,Area_ID,Crime_Code_Description,Count
88,2010,6,VANDALISM,949
89,2010,6,WEAPON,39
90,2010,7,ASSAULT,536
91,2010,7,BATTERY,756
92,2010,7,BURGLARY,1656
93,2010,7,FAMILIAL CRIME,71
94,2010,7,FAMILIAL CRIMES,31
95,2010,7,FRAUD,1069
96,2010,7,GAMBLING,9
97,2010,7,KIDNAPPING,10
98,2010,7,MURDER,5
99,2010,7,OTHER,658
100,2010,7,ROBBERY,377
101,2010,7,SEXUAL CRIMES,211
102,2010,7,THEFT,1646
103,2010,7,VANDALISM,755
104,2010,7,WEAPON,49
105,2010,8,ASSAULT,282
106,2010,8,BATTERY,719
107,2010,8,BURGLARY,1664
108,2010,8,FAMILIAL CRIME,54
109,2010,8,FAMILIAL CRIMES,20
110,2010,8,FRAUD,1079
111,2010,8,GAMBLING,12
112,2010,8,KIDNAPPING,6
113,2010,8,MURDER,3
114,2010,8,OTHER,631
115,2010,8,ROBBERY,185
116,2010,8,SEXUAL CRIMES,288
117,2010,8,THEFT,1891
118,2010,8,VANDALISM,777
119,2010,8,WEAPON,36
120,2010,9,ASSAULT,942
121,2010,9,BATTERY,749
122,2010,9,BURGLARY,1916
123,2010,9,FAMILIAL CRIME,121
124,2010,9,FAMILIAL CRIMES,55
125,2010,9,FRAUD,1278
126,2010,9,GAMBLING,3
127,2010,9,KIDNAPPING,13
128,2010,9,MURDER,6
129,2010,9,OTHER,816
130,2010,9,ROBBERY,298
131,2010,9,SEXUAL CRIMES,332
132,2010,9,THEFT,1783
133,2010,9,VANDALISM,1018
134,2010,9,WEAPON,76
135,2010,10,ASSAULT,813
136,2010,10,BATTERY,708
137,2010,10,BURGLARY,1932
138,2010,10,FAMILIAL CRIME,127
139,2010,10,FAMILIAL CRIMES,41
140,2010,10,FRAUD,1148
141,2010,10,GAMBLING,24
142,2010,10,KIDNAPPING,14
143,2010,10,MURDER,3
144,2010,10,OTHER,860
145,2010,10,ROBBERY,279
146,2010,10,SEXUAL CRIMES,327
147,2010,10,THEFT,1576
148,2010,10,VANDALISM,872
149,2010,10,WEAPON,54
150,2010,11,ASSAULT,951
151,2010,11,BATTERY,991
152,2010,11,BURGLARY,1820
153,2010,11,FAMILIAL CRIME,125
154,2010,11,FAMILIAL CRIMES,55
155,2010,11,FRAUD,1161
156,2010,11,GAMBLING,5
157,2010,11,KIDNAPPING,12
158,2010,11,MURDER,8
159,2010,11,OTHER,877
160,2010,11,ROBBERY,438
161,2010,11,SEXUAL CRIMES,272
162,2010,11,THEFT,2140
163,2010,11,VANDALISM,1158
164,2010,11,WEAPON,82
165,2010,12,ASSAULT,1889
166,2010,12,BATTERY,1932
167,2010,12,BURGLARY,2120
168,2010,12,FAMILIAL CRIME,294
169,2010,12,FAMILIAL CRIMES,124
170,2010,12,FRAUD,799
171,2010,12,GAMBLING,3
172,2010,12,KIDNAPPING,41
173,2010,12,MURDER,39
174,2010,12,OTHER,1387
175,2010,12,ROBBERY,1260
176,2010,12,SEXUAL CRIMES,330
177,2010,12,THEFT,2156
178,2010,12,VANDALISM,1282
179,2010,12,WEAPON,125
180,2010,13,ASSAULT,1257
181,2010,13,BATTERY,1141
182,2010,13,BURGLARY,1359
183,2010,13,FAMILIAL CRIME,210
184,2010,13,FAMILIAL CRIMES,101
185,2010,13,FRAUD,411
186,2010,13,GAMBLING,1
187,2010,13,KIDNAPPING,20
188,2010,13,MURDER,39
189,2010,13,OTHER,873
190,2010,13,ROBBERY,929
191,2010,13,SEXUAL CRIMES,170
192,2010,13,THEFT,2172
193,2010,13,VANDALISM,830
194,2010,13,WEAPON,107
195,2010,14,ASSAULT,396
196,2010,14,BATTERY,1018
197,2010,14,BURGLARY,2182
198,2010,14,FAMILIAL CRIME,71
199,2010,14,FAMILIAL CRIMES,25
200,2010,14,FRAUD,1102
201,2010,14,GAMBLING,17
202,2010,14,KIDNAPPING,5
203,2010,14,MURDER,2
204,2010,14,OTHER,822
205,2010,14,ROBBERY,350
206,2010,14,SEXUAL CRIMES,224
207,2010,14,THEFT,2836
208,2010,14,VANDALISM,1070
209,2010,14,WEAPON,56
210,2010,15,ASSAULT,897
211,2010,15,BATTERY,907
212,2010,15,BURGLARY,2535
213,2010,15,FAMILIAL CRIME,138
214,2010,15,FAMILIAL CRIMES,42
215,2010,15,FRAUD,1300
216,2010,15,GAMBLING,6
217,2010,15,KIDNAPPING,17
218,2010,15,MURDER,13
219,2010,15,OTHER,723
220,2010,15,ROBBERY,399
221,2010,15,SEXUAL CRIMES,307
222,2010,15,THEFT,2194
223,2010,15,VANDALISM,1175
224,2010,15,WEAPON,59
225,2010,16,ASSAULT,1017
226,2010,16,BATTERY,779
227,2010,16,BURGLARY,1601
228,2010,16,FAMILIAL CRIME,198
229,2010,16,FAMILIAL CRIMES,70
230,2010,16,FRAUD,895
231,2010,16,GAMBLING,11
232,2010,16,KIDNAPPING,18
233,2010,16,MURDER,14
234,2010,16,OTHER,833
235,2010,16,ROBBERY,312
236,2010,16,SEXUAL CRIMES,220
237,2010,16,THEFT,1901
238,2010,16,VANDALISM,918
239,2010,16,WEAPON,68
240,2010,17,ASSAULT,616
241,2010,17,BATTERY,779
242,2010,17,BURGLARY,2487
243,2010,17,FAMILIAL CRIME,99
244,2010,17,FAMILIAL CRIMES,42
245,2010,17,FRAUD,1628
246,2010,17,GAMBLING,25
247,2010,17,KIDNAPPING,21
248,2010,17,MURDER,3
249,2010,17,OTHER,806
250,2010,17,ROBBERY,264
251,2010,17,SEXUAL CRIMES,260
252,2010,17,THEFT,1984
253,2010,17,VANDALISM,1105
254,2010,17,WEAPON,47
255,2010,18,ASSAULT,1579
256,2010,18,BATTERY,1439
257,2010,18,BURGLARY,1698
258,2010,18,FAMILIAL CRIME,222
259,2010,18,FAMILIAL CRIMES,89
260,2010,18,FRAUD,554
261,2010,18,GAMBLING,1
262,2010,18,KIDNAPPING,44
263,2010,18,MURDER,46
264,2010,18,OTHER,847
265,2010,18,ROBBERY,1027
266,2010,18,SEXUAL CRIMES,198
267,2010,18,THEFT,1759
268,2010,18,VANDALISM,1018
269,2010,18,WEAPON,104
270,2010,19,ASSAULT,991
271,2010,19,BATTERY,1190
272,2010,19,BURGLARY,1660
273,2010,19,FAMILIAL CRIME,242
274,2010,19,FAMILIAL CRIMES,119
275,2010,19,FRAUD,1104
276,2010,19,GAMBLING,33
277,2010,19,KIDNAPPING,15
278,2010,19,MURDER,14
279,2010,19,OTHER,904
280,2010,19,ROBBERY,431
281,2010,19,SEXUAL CRIMES,326
282,2010,19,THEFT,1897
283,2010,19,VANDALISM,1081
284,2010,19,WEAPON,87
285,2010,20,ASSAULT,670
286,2010,20,BATTERY,1241
287,2010,20,BURGLARY,1285
288,2010,20,FAMILIAL CRIME,150
289,2010,20,FAMILIAL CRIMES,56
290,2010,20,FRAUD,814
291,2010,20,GAMBLING,32
292,2010,20,KIDNAPPING,9
293,2010,20,MURDER,4
294,2010,20,OTHER,719
295,2010,20,ROBBERY,743
296,2010,20,SEXUAL CRIMES,240
297,2010,20,THEFT,1601
298,2010,20,VANDALISM,763
299,2010,20,WEAPON,43
300,2010,21,ASSAULT,656
301,2010,21,BATTERY,863
302,2010,21,BURGLARY,1682
303,2010,21,FAMILIAL CRIME,145
304,2010,21,FAMILIAL CRIMES,38
305,2010,21,FRAUD,1484
306,2010,21,GAMBLING,30
307,2010,21,KIDNAPPING,14
308,2010,21,MURDER,7
309,2010,21,OTHER,952
310,2010,21,ROBBERY,258
311,2010,21,SEXUAL CRIMES,319
312,2010,21,THEFT,1741
313,2010,21,VANDALISM,925
314,2010,21,WEAPON,39
315,2011,1,ASSAULT,689
316,2011,1,BATTERY,1330
317,2011,1,BURGLARY,861
318,2011,1,FAMILIAL CRIME,26
319,2011,1,FAMILIAL CRIMES,8
320,2011,1,FRAUD,418
321,2011,1,GAMBLING,3
322,2011,1,KIDNAPPING,13
323,2011,1,MURDER,11
324,2011,1,OTHER,643
325,2011,1,ROBBERY,480
326,2011,1,SEXUAL CRIMES,127
327,2011,1,THEFT,1056
328,2011,1,VANDALISM,554
329,2011,1,WEAPON,64
330,2011,2,ASSAULT,1314
331,2011,2,BATTERY,955
332,2011,2,BURGLARY,843
333,2011,2,FAMILIAL CRIME,123
334,2011,2,FAMILIAL CRIMES,72
335,2011,2,FRAUD,693
336,2011,2,GAMBLING,48
337,2011,2,KIDNAPPING,12
338,2011,2,MURDER,13
339,2011,2,OTHER,728
340,2011,2,ROBBERY,738
341,2011,2,SEXUAL CRIMES,269
342,2011,2,THEFT,1310
343,2011,2,VANDALISM,742
344,2011,2,WEAPON,79
345,2011,3,ASSAULT,1321
346,2011,3,BATTERY,1588
347,2011,3,BURGLARY,1879
348,2011,3,FAMILIAL CRIME,170
349,2011,3,FAMILIAL CRIMES,68
350,2011,3,FRAUD,942
351,2011,3,GAMBLING,22
352,2011,3,KIDNAPPING,26
353,2011,3,MURDER,22
354,2011,3,OTHER,1101
355,2011,3,ROBBERY,965
356,2011,3,SEXUAL CRIMES,262
357,2011,3,THEFT,1952
358,2011,3,VANDALISM,1151
359,2011,3,WEAPON,88
360,2011,4,ASSAULT,700
361,2011,4,BATTERY,852
362,2011,4,BURGLARY,750
363,2011,4,FAMILIAL CRIME,160
364,2011,4,FAMILIAL CRIMES,54
365,2011,4,FRAUD,453
366,2011,4,GAMBLING,28
367,2011,4,KIDNAPPING,16
368,2011,4,MURDER,19
369,2011,4,OTHER,568
370,2011,4,ROBBERY,327
371,2011,4,SEXUAL CRIMES,158
372,2011,4,THEFT,1187
373,2011,4,VANDALISM,691
374,2011,4,WEAPON,82
375,2011,5,ASSAULT,1080
376,2011,5,BATTERY,827
377,2011,5,BURGLARY,1693
378,2011,5,FAMILIAL CRIME,132
379,2011,5,FAMILIAL CRIMES,51
380,2011,5,FRAUD,758
381,2011,5,GAMBLING,36
382,2011,5,KIDNAPPING,8
383,2011,5,MURDER,31
384,2011,5,OTHER,872
385,2011,5,ROBBERY,288
386,2011,5,SEXUAL CRIMES,148
387,2011,5,THEFT,1958
388,2011,5,VANDALISM,1106
389,2011,5,WEAPON,111
390,2011,6,ASSAULT,764
391,2011,6,BATTERY,1235
392,2011,6,BURGLARY,1483
393,2011,6,FAMILIAL CRIME,42
394,2011,6,FAMILIAL CRIMES,24
395,2011,6,FRAUD,753
396,2011,6,GAMBLING,25
397,2011,6,KIDNAPPING,11
398,2011,6,MURDER,8
399,2011,6,OTHER,659
400,2011,6,ROBBERY,468
401,2011,6,SEXUAL CRIMES,247
402,2011,6,THEFT,1620
403,2011,6,VANDALISM,926
404,2011,6,WEAPON,39
405,2011,7,ASSAULT,433
406,2011,7,BATTERY,815
407,2011,7,BURGLARY,1776
408,2011,7,FAMILIAL CRIME,44
409,2011,7,FAMILIAL CRIMES,24
410,2011,7,FRAUD,1277
411,2011,7,GAMBLING,46
412,2011,7,KIDNAPPING,8
413,2011,7,MURDER,5
414,2011,7,OTHER,647
415,2011,7,ROBBERY,360
416,2011,7,SEXUAL CRIMES,196
417,2011,7,THEFT,1383
418,2011,7,VANDALISM,745
419,2011,7,WEAPON,54
420,2011,8,ASSAULT,345
421,2011,8,BATTERY,585
422,2011,8,BURGLARY,2133
423,2011,8,FAMILIAL CRIME,44
424,2011,8,FAMILIAL CRIMES,28
425,2011,8,FRAUD,1139
426,2011,8,GAMBLING,17
427,2011,8,KIDNAPPING,6
428,2011,8,MURDER,2
429,2011,8,OTHER,644
430,2011,8,ROBBERY,154
431,2011,8,SEXUAL CRIMES,229
432,2011,8,THEFT,1578
433,2011,8,VANDALISM,758
434,2011,8,WEAPON,33
435,2011,9,ASSAULT,879
436,2011,9,BATTERY,765
437,2011,9,BURGLARY,1555
438,2011,9,FAMILIAL CRIME,128
439,2011,9,FAMILIAL CRIMES,46
440,2011,9,FRAUD,1306
441,2011,9,GAMBLING,7
442,2011,9,KIDNAPPING,10
443,2011,9,MURDER,5
444,2011,9,OTHER,866
445,2011,9,ROBBERY,256
446,2011,9,SEXUAL CRIMES,272
447,2011,9,THEFT,1484
448,2011,9,VANDALISM,1030
449,2011,9,WEAPON,51
450,2011,10,ASSAULT,712
451,2011,10,BATTERY,666
452,2011,10,BURGLARY,1756
453,2011,10,FAMILIAL CRIME,97
454,2011,10,FAMILIAL CRIMES,49
455,2011,10,FRAUD,1232
456,2011,10,GAMBLING,43
457,2011,10,KIDNAPPING,6
458,2011,10,MURDER,5
459,2011,10,OTHER,839
460,2011,10,ROBBERY,218
461,2011,10,SEXUAL CRIMES,269
462,2011,10,THEFT,1356
463,2011,10,VANDALISM,863
464,2011,10,WEAPON,49
465,2011,11,ASSAULT,857
466,2011,11,BATTERY,864
467,2011,11,BURGLARY,1558
468,2011,11,FAMILIAL CRIME,127
469,2011,11,FAMILIAL CRIMES,47
470,2011,11,FRAUD,1213
471,2011,11,GAMBLING,16
472,2011,11,KIDNAPPING,13
473,2011,11,MURDER,12
474,2011,11,OTHER,761
475,2011,11,ROBBERY,319
476,2011,11,SEXUAL CRIMES,233
477,2011,11,THEFT,1968
478,2011,11,VANDALISM,1076
479,2011,11,WEAPON,80
480,2011,12,ASSAULT,1764
481,2011,12,BATTERY,1942
482,2011,12,BURGLARY,2107
483,2011,12,FAMILIAL CRIME,218
484,2011,12,FAMILIAL CRIMES,111
485,2011,12,FRAUD,967
486,2011,12,GAMBLING,12
487,2011,12,KIDNAPPING,33
488,2011,12,MURDER,32
489,2011,12,OTHER,1223
490,2011,12,ROBBERY,1253
491,2011,12,SEXUAL CRIMES,286
492,2011,12,THEFT,2135
493,2011,12,VANDALISM,1185
494,2011,12,WEAPON,119
495,2011,13,ASSAULT,1212
496,2011,13,BATTERY,996
497,2011,13,BURGLARY,1305
498,2011,13,FAMILIAL CRIME,188
499,2011,13,FAMILIAL CRIMES,73
500,2011,13,FRAUD,425
501,2011,13,GAMBLING,12
502,2011,13,KIDNAPPING,27
503,2011,13,MURDER,36
504,2011,13,OTHER,782
505,2011,13,ROBBERY,950
506,2011,13,SEXUAL CRIMES,199
507,2011,13,THEFT,1878
508,2011,13,VANDALISM,742
509,2011,13,WEAPON,83
510,2011,14,ASSAULT,453
511,2011,14,BATTERY,940
512,2011,14,BURGLARY,2088
513,2011,14,FAMILIAL CRIME,69
514,2011,14,FAMILIAL CRIMES,20
515,2011,14,FRAUD,997
516,2011,14,GAMBLING,11
517,2011,14,KIDNAPPING,7
518,2011,14,MURDER,7
519,2011,14,OTHER,767
520,2011,14,ROBBERY,291
521,2011,14,SEXUAL CRIMES,218
522,2011,14,THEFT,2187
523,2011,14,VANDALISM,1007
524,2011,14,WEAPON,39
525,2011,15,ASSAULT,866
526,2011,15,BATTERY,863
527,2011,15,BURGLARY,2090
528,2011,15,FAMILIAL CRIME,137
529,2011,15,FAMILIAL CRIMES,39
530,2011,15,FRAUD,1279
531,2011,15,GAMBLING,8
532,2011,15,KIDNAPPING,15
533,2011,15,MURDER,7
534,2011,15,OTHER,732
535,2011,15,ROBBERY,308
536,2011,15,SEXUAL CRIMES,310
537,2011,15,THEFT,1893
538,2011,15,VANDALISM,1166
539,2011,15,WEAPON,57
540,2011,16,ASSAULT,948
541,2011,16,BATTERY,667
542,2011,16,BURGLARY,1334
543,2011,16,FAMILIAL CRIME,216
544,2011,16,FAMILIAL CRIMES,69
545,2011,16,FRAUD,983
546,2011,16,GAMBLING,32
547,2011,16,KIDNAPPING,20
548,2011,16,MURDER,13
549,2011,16,OTHER,785
550,2011,16,ROBBERY,253
551,2011,16,SEXUAL CRIMES,219
552,2011,16,THEFT,1651
553,2011,16,VANDALISM,823
554,2011,16,WEAPON,76
555,2011,17,ASSAULT,605
556,2011,17,BATTERY,783
557,2011,17,BURGLARY,2261
558,2011,17,FAMILIAL CRIME,100
559,2011,17,FAMILIAL CRIMES,39
560,2011,17,FRAUD,1327
561,2011,17,GAMBLING,49
562,2011,17,KIDNAPPING,6
563,2011,17,MURDER,5
564,2011,17,OTHER,759
565,2011,17,ROBBERY,192
566,2011,17,SEXUAL CRIMES,255
567,2011,17,THEFT,1592
568,2011,17,VANDALISM,976
569,2011,17,WEAPON,55
570,2011,18,ASSAULT,1413
571,2011,18,BATTERY,1585
572,2011,18,BURGLARY,1579
573,2011,18,FAMILIAL CRIME,196
574,2011,18,FAMILIAL CRIMES,80
575,2011,18,FRAUD,536
576,2011,18,GAMBLING,1
577,2011,18,KIDNAPPING,38
578,2011,18,MURDER,46
579,2011,18,OTHER,882
580,2011,18,ROBBERY,1053
581,2011,18,SEXUAL CRIMES,262
582,2011,18,THEFT,1737
583,2011,18,VANDALISM,968
584,2011,18,WEAPON,134
585,2011,19,ASSAULT,971
586,2011,19,BATTERY,1189
587,2011,19,BURGLARY,1775
588,2011,19,FAMILIAL CRIME,224
589,2011,19,FAMILIAL CRIMES,110
590,2011,19,FRAUD,1176
591,2011,19,GAMBLING,23
592,2011,19,KIDNAPPING,14
593,2011,19,MURDER,11
594,2011,19,OTHER,926
595,2011,19,ROBBERY,374
596,2011,19,SEXUAL CRIMES,284
597,2011,19,THEFT,1744
598,2011,19,VANDALISM,1087
599,2011,19,WEAPON,82
600,2011,20,ASSAULT,642
601,2011,20,BATTERY,1086
602,2011,20,BURGLARY,1031
603,2011,20,FAMILIAL CRIME,119
604,2011,20,FAMILIAL CRIMES,70
605,2011,20,FRAUD,754
606,2011,20,GAMBLING,38
607,2011,20,KIDNAPPING,10
608,2011,20,MURDER,6
609,2011,20,OTHER,744
610,2011,20,ROBBERY,612
611,2011,20,SEXUAL CRIMES,223
612,2011,20,THEFT,1389
613,2011,20,VANDALISM,722
614,2011,20,WEAPON,42
615,2011,21,ASSAULT,530
616,2011,21,BATTERY,852
617,2011,21,BURGLARY,1628
618,2011,21,FAMILIAL CRIME,104
619,2011,21,FAMILIAL CRIMES,39
620,2011,21,FRAUD,1745
621,2011,21,GAMBLING,60
622,2011,21,KIDNAPPING,6
623,2011,21,MURDER,2
624,2011,21,OTHER,799
625,2011,21,ROBBERY,196
626,2011,21,SEXUAL CRIMES,282
627,2011,21,THEFT,1301
628,2011,21,VANDALISM,787
629,2011,21,WEAPON,38
630,2012,1,ASSAULT,734
631,2012,1,BATTERY,1356
632,2012,1,BURGLARY,833
633,2012,1,FAMILIAL CRIME,38
634,2012,1,FAMILIAL CRIMES,11
635,2012,1,FRAUD,533
636,2012,1,GAMBLING,69
637,2012,1,KIDNAPPING,14
638,2012,1,MURDER,3
639,2012,1,OTHER,750
640,2012,1,ROBBERY,525
641,2012,1,SEXUAL CRIMES,181
642,2012,1,THEFT,1363
643,2012,1,VANDALISM,628
644,2012,1,WEAPON,72
645,2012,2,ASSAULT,1201
646,2012,2,BATTERY,955
647,2012,2,BURGLARY,1017
648,2012,2,FAMILIAL CRIME,161
649,2012,2,FAMILIAL CRIMES,65
650,2012,2,FRAUD,745
651,2012,2,GAMBLING,80
652,2012,2,KIDNAPPING,13
653,2012,2,MURDER,20
654,2012,2,OTHER,716
655,2012,2,ROBBERY,684
656,2012,2,SEXUAL CRIMES,221
657,2012,2,THEFT,1418
658,2012,2,VANDALISM,711
659,2012,2,WEAPON,67
660,2012,3,ASSAULT,1163
661,2012,3,BATTERY,1875
662,2012,3,BURGLARY,1897
663,2012,3,FAMILIAL CRIME,197
664,2012,3,FAMILIAL CRIMES,89
665,2012,3,FRAUD,977
666,2012,3,GAMBLING,14
667,2012,3,KIDNAPPING,23
668,2012,3,MURDER,17
669,2012,3,OTHER,1095
670,2012,3,ROBBERY,777
671,2012,3,SEXUAL CRIMES,283
672,2012,3,THEFT,1828
673,2012,3,VANDALISM,1139
674,2012,3,WEAPON,65
675,2012,4,ASSAULT,715
676,2012,4,BATTERY,772
677,2012,4,BURGLARY,828
678,2012,4,FAMILIAL CRIME,151
679,2012,4,FAMILIAL CRIMES,51
680,2012,4,FRAUD,504
681,2012,4,GAMBLING,18
682,2012,4,KIDNAPPING,16
683,2012,4,MURDER,19
684,2012,4,OTHER,540
685,2012,4,ROBBERY,343
686,2012,4,SEXUAL CRIMES,152
687,2012,4,THEFT,1536
688,2012,4,VANDALISM,723
689,2012,4,WEAPON,97
690,2012,5,ASSAULT,975
691,2012,5,BATTERY,789
692,2012,5,BURGLARY,1445
693,2012,5,FAMILIAL CRIME,182
694,2012,5,FAMILIAL CRIMES,45
695,2012,5,FRAUD,725
696,2012,5,GAMBLING,22
697,2012,5,KIDNAPPING,6
698,2012,5,MURDER,19
699,2012,5,OTHER,851
700,2012,5,ROBBERY,270
701,2012,5,SEXUAL CRIMES,175
702,2012,5,THEFT,2002
703,2012,5,VANDALISM,936
704,2012,5,WEAPON,135
705,2012,6,ASSAULT,799
706,2012,6,BATTERY,1118
707,2012,6,BURGLARY,1362
708,2012,6,FAMILIAL CRIME,53
709,2012,6,FAMILIAL CRIMES,19
710,2012,6,FRAUD,910
711,2012,6,GAMBLING,24
712,2012,6,KIDNAPPING,11
713,2012,6,MURDER,6
714,2012,6,OTHER,646
715,2012,6,ROBBERY,510
716,2012,6,SEXUAL CRIMES,305
717,2012,6,THEFT,1578
718,2012,6,VANDALISM,901
719,2012,6,WEAPON,62
720,2012,7,ASSAULT,461
721,2012,7,BATTERY,853
722,2012,7,BURGLARY,1656
723,2012,7,FAMILIAL CRIME,78
724,2012,7,FAMILIAL CRIMES,39
725,2012,7,FRAUD,1150
726,2012,7,GAMBLING,58
727,2012,7,KIDNAPPING,11
728,2012,7,MURDER,9
729,2012,7,OTHER,628
730,2012,7,ROBBERY,314
731,2012,7,SEXUAL CRIMES,189
732,2012,7,THEFT,1321
733,2012,7,VANDALISM,670
734,2012,7,WEAPON,34
735,2012,8,ASSAULT,333
736,2012,8,BATTERY,701
737,2012,8,BURGLARY,1853
738,2012,8,FAMILIAL CRIME,51
739,2012,8,FAMILIAL CRIMES,11
740,2012,8,FRAUD,1413
741,2012,8,GAMBLING,7
742,2012,8,KIDNAPPING,4
743,2012,8,MURDER,3
744,2012,8,OTHER,562
745,2012,8,ROBBERY,126
746,2012,8,SEXUAL CRIMES,232
747,2012,8,THEFT,1549
748,2012,8,VANDALISM,801
749,2012,8,WEAPON,44
750,2012,9,ASSAULT,815
751,2012,9,BATTERY,848
752,2012,9,BURGLARY,1573
753,2012,9,FAMILIAL CRIME,118
754,2012,9,FAMILIAL CRIMES,37
755,2012,9,FRAUD,1388
756,2012,9,GAMBLING,1
757,2012,9,KIDNAPPING,19
758,2012,9,MURDER,5
759,2012,9,OTHER,842
760,2012,9,ROBBERY,218
761,2012,9,SEXUAL CRIMES,238
762,2012,9,THEFT,1506
763,2012,9,VANDALISM,957
764,2012,9,WEAPON,58
765,2012,10,ASSAULT,755
766,2012,10,BATTERY,651
767,2012,10,BURGLARY,1743
768,2012,10,FAMILIAL CRIME,107
769,2012,10,FAMILIAL CRIMES,27
770,2012,10,FRAUD,1302
771,2012,10,GAMBLING,59
772,2012,10,KIDNAPPING,10
773,2012,10,MURDER,4
774,2012,10,OTHER,772
775,2012,10,ROBBERY,202
776,2012,10,SEXUAL CRIMES,272
777,2012,10,THEFT,1394
778,2012,10,VANDALISM,940
779,2012,10,WEAPON,49
780,2012,11,ASSAULT,900
781,2012,11,BATTERY,789
782,2012,11,BURGLARY,1516
783,2012,11,FAMILIAL CRIME,101
784,2012,11,FAMILIAL CRIMES,39
785,2012,11,FRAUD,1129
786,2012,11,GAMBLING,24
787,2012,11,KIDNAPPING,20
788,2012,11,MURDER,12
789,2012,11,OTHER,804
790,2012,11,ROBBERY,322
791,2012,11,SEXUAL CRIMES,225
792,2012,11,THEFT,2095
793,2012,11,VANDALISM,1055
794,2012,11,WEAPON,83
795,2012,12,ASSAULT,1745
796,2012,12,BATTERY,1971
797,2012,12,BURGLARY,2152
798,2012,12,FAMILIAL CRIME,234
799,2012,12,FAMILIAL CRIMES,94
800,2012,12,FRAUD,1037
801,2012,12,GAMBLING,9
802,2012,12,KIDNAPPING,35
803,2012,12,MURDER,51
804,2012,12,OTHER,1233
805,2012,12,ROBBERY,1112
806,2012,12,SEXUAL CRIMES,294
807,2012,12,THEFT,2133
808,2012,12,VANDALISM,1202
809,2012,12,WEAPON,111
810,2012,13,ASSAULT,1009
811,2012,13,BATTERY,1082
812,2012,13,BURGLARY,1359
813,2012,13,FAMILIAL CRIME,143
814,2012,13,FAMILIAL CRIMES,67
815,2012,13,FRAUD,448
816,2012,13,GAMBLING,18
817,2012,13,KIDNAPPING,21
818,2012,13,MURDER,16
819,2012,13,OTHER,718
820,2012,13,ROBBERY,761
821,2012,13,SEXUAL CRIMES,126
822,2012,13,THEFT,1732
823,2012,13,VANDALISM,770
824,2012,13,WEAPON,82
825,2012,14,ASSAULT,397
826,2012,14,BATTERY,845
827,2012,14,BURGLARY,2213
